tessdata_url,lang_code
https://github.com/tesseract-ocr/tessdata/raw/4.00/spa.traineddata,spa
https://github.com/tesseract-ocr/tessdata/raw/4.00/spa_old.traineddata,spa_old
https://github.com/tesseract-ocr/tessdata/raw/4.00/sqi.traineddata,sqi
https://github.com/tesseract-ocr/tessdata/raw/4.00/srp.traineddata,srp
https://github.com/tesseract-ocr/tessdata/raw/4.00/srp_latn.traineddata,srp_latn
https://github.com/tesseract-ocr/tessdata/raw/4.00/swa.traineddata,swa
https://github.com/tesseract-ocr/tessdata/raw/4.00/swe.traineddata,swe
https://github.com/tesseract-ocr/tessdata/raw/4.00/syr.traineddata,syr
https://github.com/tesseract-ocr/tessdata/raw/4.00/tam.traineddata,tam
https://github.com/tesseract-ocr/tessdata/raw/4.00/tel.traineddata,tel
https://github.com/tesseract-ocr/tessdata/raw/4.00/tgk.traineddata,tgk
https://github.com/tesseract-ocr/tessdata/raw/4.00/tgl.traineddata,tgl
https://github.com/tesseract-ocr/tessdata/raw/4.00/tha.traineddata,tha
https://github.com/tesseract-ocr/tessdata/raw/4.00/tir.traineddata,tir
https://github.com/tesseract-ocr/tessdata/raw/4.00/tur.traineddata,tur
https://github.com/tesseract-ocr/tessdata/raw/4.00/uig.traineddata,uig
https://github.com/tesseract-ocr/tessdata/raw/4.00/ukr.traineddata,ukr
https://github.com/tesseract-ocr/tessdata/raw/4.00/urd.traineddata,urd
https://github.com/tesseract-ocr/tessdata/raw/4.00/uzb.traineddata,uzb
https://github.com/tesseract-ocr/tessdata/raw/4.00/uzb_cyrl.traineddata,uzb_cyrl
https://github.com/tesseract-ocr/tessdata/raw/4.00/vie.traineddata,vie
https://github.com/tesseract-ocr/tessdata/raw/4.00/yid.traineddata,yid
